DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,PRECIPITATION
01/01/1975,9.8,1.4,5.6,0
02/01/1975,9.5,-3.2,3.2,0
03/01/1975,4.7,-1.4,1.7,0
04/01/1975,8.4,-2.1,3.2,0
05/01/1975,5.3,-3.5,0.9,0
06/01/1975,5.1,-3.2,1,0
07/01/1975,1.8,-2.4,-0.3,0
08/01/1975,2.5,-1,0.8,0
09/01/1975,8.4,-2.1,3.2,0
10/01/1975,3,-4.1,-0.6,0
11/01/1975,4.6,-1.5,1.6,0
12/01/1975,5.9,-2.4,1.7,0
13/01/1975,6.7,-1.2,2.8,0
14/01/1975,3.2,-0.7,1.3,0
15/01/1975,2.5,0.9,1.7,0
16/01/1975,4.7,0.5,2.6,0
17/01/1975,10.9,3,7,0.2
18/01/1975,11,3.2,7.1,0
19/01/1975,12.7,6.6,9.6,0
20/01/1975,10.6,6,8.3,0.4
21/01/1975,6.8,4.1,5.5,0
22/01/1975,8,5.5,6.8,0
23/01/1975,9.9,4.8,7.4,0
24/01/1975,11.2,5.3,8.2,0
25/01/1975,9.6,5.3,7.5,0
26/01/1975,8.5,3.7,6.1,0
27/01/1975,10.1,1.4,5.7,0.8
28/01/1975,10.3,1.8,6.1,1.2
29/01/1975,11.9,2.2,7.1,0
30/01/1975,12.3,0.3,6.3,0
31/01/1975,9.5,-0.5,4.5,0
01/02/1975,8.2,4.2,6.2,0.2
02/02/1975,13.1,3.7,8.4,0
03/02/1975,9.4,2.6,6,6.5
04/02/1975,8.2,4,6.1,0.2
05/02/1975,9.5,1.6,5.6,0.2
06/02/1975,9.6,-0.8,4.4,0
07/02/1975,12.7,-1,5.9,0
08/02/1975,8.4,-0.6,3.9,0
09/02/1975,9.8,-1.6,4.1,0
10/02/1975,9.3,-1.7,3.8,0
11/02/1975,8.3,3.1,5.7,0
12/02/1975,12.7,1.8,7.3,0.2
13/02/1975,8.5,6.1,7.3,3
14/02/1975,12.3,2.6,7.5,0
15/02/1975,9.8,2.1,6,9.5
16/02/1975,8.9,4.3,6.6,12.8
17/02/1975,6.3,-0.3,3,0
18/02/1975,10.2,-1.7,4.3,0
19/02/1975,12.9,-1.9,5.5,0
20/02/1975,9.4,2.6,6,1.2
21/02/1975,8.7,1.6,5.2,0
22/02/1975,9.5,3.4,6.4,0.2
23/02/1975,10,-2,4,0
24/02/1975,11.3,-1.8,4.7,0
25/02/1975,11.4,-3,4.2,0
26/02/1975,12.1,-1.4,5.3,0
