PARAMETER_CODE,PARAMETER_XVALUE,PARAMETER_YVALUE
DTSMTB_01,0.000000,0.000000
DTSMTB_02,30.000000,30.000000
DTSMTB_03,45.000000,30.000000
DTSMTB_04,0.000000,0.000000
DTSMTB_05,0.000000,0.000000
DTSMTB_06,0.000000,0.000000
DTSMTB_07,0.000000,0.000000
DTSMTB_08,0.000000,0.000000
DTSMTB_09,0.000000,0.000000
DTSMTB_10,0.000000,0.000000
DVSEND,2.000000,NA
DVSI,0.000000,NA
IDSL,2.000000,NA
TBASEM,0.000000,NA
VERNDVS,0.300000,NA
VERNRTB_01,-8.000000,0.000000
VERNRTB_02,-4.000000,0.000000
VERNRTB_03,3.000000,1.000000
VERNRTB_04,10.000000,1.000000
VERNRTB_05,17.000000,0.000000
VERNRTB_06,20.000000,0.000000
TEFFMX,30.000000,NA
TSUMEM,110.000000,NA
DLC,8.000000,NA
DLO,15.300000,NA
TSUM1,810.000000,NA
TSUM2,873.000000,NA
VERNBASE,7.000000,NA
VERNSAT,37.000000,NA
